title,bag_of_words
Double World,Double World teddychan henrylaupeterholinchenhan action & adventure international movies keenbattleclanselectswarriorscompeteperilousjourneybringhonortournamentyoungvillagerdongyilongembarks  
Doubles Cause Troubles,Doubles Cause Troubles wongjing carol'dodo'chengmaggiecheungwilsonlam action & adventure comedies international movies sidessuspiciouscircumstanceslawtwobickeringcousinstenantforcednavigateflatdies  
Doubt,Doubt johnpatrickshanley merylstreepphilipseymourhoffmanamyadams dramas faith & spirituality sisteraloysiusbeginsbecomeoverlyinvolveddoubtsdotingfatherflynnlifeseemsafricanamericanpupil  
Dovlatov,Dovlatov alekseygerman milanmaricdanilakozlovskyhelenasujecka dramas international movies 1971publishingbrilliantwritersergeidovlatovencountersmaddeningbarriersrepressivesovietregimesixdayswork  
Dr Jason Leong Hashtag Blessed,Dr Jason Leong Hashtag Blessed kubhaert.jethwani jasonleong stand-up comedy diagnosesbusinessoffstraditionalhealersspecialformerdoctorjasonleonggivesclassshowstandnonsense  
Dr. Seuss' The Cat in the Hat,"Dr. Seuss' The Cat in the Hat bowelch mikemyersalecbaldwinkellypreston children & family movies comedies girlcatboredlittleboyproceedsmothermomhousevisitedawayturnhatmesses.""  "
Dr. Seuss' The Grinch,"Dr. Seuss' The Grinch scottmosier,yarrowcheney benedictcumberbatchcameronseelyrashidajones children & family movies comedies cheerfultownwhovillebringchristmasgrumphearthaltmeanstreakplotsgenerouslittlegirlcouldchange  "
Dr. Seuss' The Lorax,"Dr. Seuss' The Lorax chrisrenaud,kylebalda dannydevitoedhelmstaylorswift children & family movies stopsighteddwellingloraxenvironmentforestshortprofitdradaptationseussclassicruiningler  "
Dragon Quest Your Story,"Dragon Quest Your Story takashiyamazaki,ryuichiyagi,makotohanafusa takerusatokasumiarimuraharu action & adventure anime features children & family movies motherrescuezenithianswordhopefindingheavenlyherowieldsfatherevilladjalucafollowsfootsteps  "
Dragon Tiger Gate,Dragon Tiger Gate wilsonyip donnieyennicholastseshawnyue action & adventure international movies battledragonferociousvillainshibumifellowstudentstigergatemartialartsschoolteam  
Dragonheart,Dragonheart robcohen seanconnerydennisquaiddavidthewlis action & adventure sci-fi & fantasy breatherssoaredancienttimesknightcomesfacemajesticfireheartearthskieslastdragon  
Dragonheart 3: The Sorcerer,Dragonheart 3: The Sorcerer colinteague julianmorristamzinmerchantbenkingsley action & adventure sci-fi & fantasy unlikelyalliancetwoformaspiringknightcrossespathsdragonmalicioussorcererhighstakesbattle  
Dragonheart: A New Beginning,Dragonheart: A New Beginning douglefler christophermastersonharryvangorkumronafigueroa action & adventure sci-fi & fantasy stableboydreamsoffspringskillsknightmasterdragondraketeamsbecomingsequelintroducesdraco  
Dragonheart: Battle for the Heartfire,Dragonheart: Battle for the Heartfire patriksyversen tomrhysharriesjessamine-blissbellpatrickstewart action & adventure sci-fi & fantasy kingthronewargrandchildrengodragonmonarchbrittaniadiesnewrulerheartmustfindshares  
Dragonheart: Vengeance,Dragonheart: Vengeance ivansilvestrini josephmillsonjackkanehelenabonhamcarter action & adventure sci-fi & fantasy youngfarmerteamsdeathsbreathingdragonfamilyslainvicioussavagesswordicewieldingmercenaryavenge  
Dragons: Dawn of the Dragon Racers,"Dragons: Dawn of the Dragon Racers elainebogan,johnsanford jaybaruchelamericaferrerazackpearlman children & family movies comedies trainfiercelostsheepturnsdragonhuntadventurecontinuesfilledcompetitionfun  "
Dragons: Rescue Riders: Hunt for the Golden Dragon,"Dragons: Rescue Riders: Hunt for the Golden Dragon tjsullivan,gregrankin noahkayebentleybrennleybrownzachcallison children & family movies comedies rescueridersmustracefindpreciousgoldendragoneggevilpiratestreasurehuntprotectlifetime  "
Dragons: Rescue Riders: Huttsgalor Holiday,"Dragons: Rescue Riders: Huttsgalor Holiday gregrankin,tjsullivan noahkayebentleybrennleybrownzachcallison children & family movies comedies snowfallmarksvikingholidaystartrescueridersgivingtraditionunlesscrazyweathermightcancelodinyule—swoop  "
Dragons: Rescue Riders: Secrets of the Songwing,"Dragons: Rescue Riders: Secrets of the Songwing gregrankin,tjsullivan noahkayebentleybrennleybrownzachcallison children & family movies comedies beautifulvoicehypnotizesmusicaldragonhuttsgalorrescueridersspellbreakfindpeopledragonsway  "
Dream Big: Engineering Our World,Dream Big: Engineering Our World gregmacgillivray jeffbridges documentaries compellingdocumentaryexaminesengineeringjeffbridgesincredibleachievementsglobeacrossnarrated  
Dream/Killer,Dream/Killer andrewjenks billfergusonryanferguson documentaries brokenjudicialsystemrivetingcrimedocfollowsbillprisonsonconfrontsamericafalselysentenced40years  
Dries,Dries reinerholzemer driesvannoten documentaries international movies makedriesvannotenoneworldintensepassiondistinctivetalentuniquefashiondesignersdocumentaryexplores  
Drink Drank Drunk,Drink Drank Drunk yeungyat-tak carloschankenhungdeepng comedies international movies searchingreportwitnesshungoveryoungmandaycriminaltrialbirthdaypartyunexpectedsoulpals  
Drishyam,Drishyam nishikantkamat ajaydevgnshriyasarantabu dramas international movies thrillers rankingpoliceofficialmurdersuspectsondaughtergoesmissinghighunexceptionalmanbecomesharassed  
Drive,Drive tarunmansukhani jacquelinefernandezsushantsinghrajputbomanirani action & adventure international movies dirtysecretsnotoriousthiefalliesdeceitstreetracergrandheistinvolvingauthoritieselaborategame  
Drunk Parents,Drunk Parents fredwolf alecbaldwinsalmahayekjimgaffigan comedies direfinancialstraitsextremelengthshidefriendsdaughtertwodesperateparentsgo  
Dry Martina,Dry Martina chesandoval antonellacostapatriciocontrerasgeraldineneary dramas independent movies international movies trystchileexsexuallyadventuroussingerboyfriendleadsoddencounterfanescapade  
DTC Yukemuri Junjo Hen From High & Low,DTC Yukemuri Junjo Hen From High & Low norihisahiranuma kenjiroyamashitakantasatotaikisato dramas international movies battleshotspringresortsworddistrictbehinddantettsuchiharuleavecarefreeroadtripadventureendworking  
Duck Butter,Duck Butter miguelarteta aliashawkatlaiacostamaewhitman dramas independent movies lgbtq movies hourexperimenttwoyoungwomenembarkromancefloundersclockwindswaryrelationshipsdishonestyintimacy24  
Duck Duck Goose,Duck Duck Goose chrisjenkins jimgaffiganzendayalancelim children & family movies comedies flocklostducklingsgroundedpairtakesannualmigrationnearswingcarefreegooseinjury  
Dude,Dude oliviamilch lucyhalekathrynprescottalexandrashipp comedies dramas independent movies majorlifechanges–highschoolsmokefourbestfriendsnavigatelossweedlotlasttwoweeks  
Dukhtar,Dukhtar afianathaniel samiyamumtazmohibmirzasalehaaref dramas independent movies international movies kidnapstribalmarriagesaveolddaughter10freedomyeardesperatequestyoungmotherembarks  
Dum,Dum eeshwarnivas vivekoberoidiyamirzaatulkulkarni action & adventure dramas international movies bringoneyoungpoliceofficertriescolleaguesbecomescorruptedpoweroffenderdarksidejusticegoes  
Dumb and Dumberer: When Harry Met Lloyd,Dumb and Dumberer: When Harry Met Lloyd troymiller ericchristianolsenderekrichardsonrachelnichols comedies wackyprequeldays1994blockbustergoesbackclassmateslamerhodeislandhighschoolbrainedtitlecharacters  
Dumplin',Dumplin' annefletcher daniellemacdonaldjenniferanistonodeyarush comedies dramas independent movies beautyqueenmomexpointlocalpageantrunfittingprovetexasteenwillowdeandicksonentersmeasuring  
Duniya,Duniya rameshtalwar dilipkumarrishikapoorpran action & adventure dramas international movies unawarelawyerdefendsattorneybrother–’childhoodfriendgirlfrienddeepconnectionmurdercase  
Duplicate,Duplicate maheshbhatt shahrukhkhanjuhichawlasonalibendre comedies dramas international movies escapeauthoritieshilariousmixperkychefupsconvictseeksdoppelgängerdeadlyencountersensueidentityassuming  
Dushman,Dushman shaguftarafique kartarcheemajashansinghsakshigulati dramas international movies pakistanicolleaguecriminalownerthreatensindianhotelwaiterformsruinunlikelybondestablishment’lives  
E-Cigarettes: Miracle or Menace?,E-Cigarettes: Miracle or Menace? emmahatherley michaelmosley documentaries whetherevapingculturesurgedocumentaryinvestigateshabitreallyhelpsmokerskickcigarettes  
Earth and Blood,Earth and Blood julienleclercq samibouajilaeriqebouaneysamyseghir dramas international movies thrillers deadlyfeudteenagedaughterbecometangledsawmillownerdrugdealerstashesstolencocaineremoteproperty  
Earth to Echo,Earth to Echo davegreen teohalmastroreesehartwig children & family movies sci-fi & fantasy constructionprojectbeginsneighborhoodcellphonesfourfriendsstartreceivingbizarreencodedtextmessages  
Earthquake Bird,Earthquake Bird washwestmoreland aliciavikanderrileykeoughnaokikobayashi dramas romantic movies friendwake1980stokyosuspectedlocalphotographergonemissingkillinglovetriangleenigmaticexpat  
East Side Sushi,East Side Sushi anthonylucero dianaelizabethtorresyutakatakeuchirodrigoduarteclark dramas ’usualcandidateamericanmothermakesdoggedmexicanrolebecomemissiontalentedsushichef  
Easy A,Easy A willgluck emmastonepennbadgleyamandabynes comedies romantic movies provocativenewpersonahighschoollieinfamousanonymousoliveembracereputationtransformsdecides  
Eat Pray Love,Eat Pray Love ryanmurphy juliarobertsjamesfrancojavierbardem dramas romantic movies truelovegoodfoodlifesearchspiritualityworldreshapeliztravelsarounddivorcedeciding  
Echcharikkai,Echcharikkai sarjun sathyarajvaralakshmisarathkumarkishorekumarg. international movies thrillers brilliantcoppowerstruggletwomengetsweptmillionaire’kidnappinghuntfatherenlistsdaughter  
Echo in the Canyon,Echo in the Canyon andrewslater jakobdylanringostarrmichellephillips documentaries music & musicals creativenexusyounghollywood’laurelcanyoninnovativemusicians1960saffectionatedocumentarylooksbackmid  
Eddie - Strongman,Eddie - Strongman mattbell eddiehall documentaries sports movies obsessiondocumentaryrevealsworldstrongestmangruelinglifechoicesfuelbritishstrongmaneddiehallwants  
Eddie Murphy: Delirious,Eddie Murphy: Delirious brucegowers eddiemurphy stand-up comedy madewildstandhouseholdnamecomedyeddiemurphyunleashesuncensoredobservationsparodies1983liveshowflashing  
Eddie Murphy: Raw,Eddie Murphy: Raw roberttownsend eddiemurphy stand-up comedy impressionschildhoodstandremembrancesprovocativeseriesobservationscomedyclassicfeatureseddiemurphylive  
Edge of Fear,Edge of Fear bobbyroth shenlinrobertpatrickzhuzhu independent movies thrillers assaultwomanhusbandmustsummonsavegangstrengthsociopathiccriminalskidnapwildernessgetaway  
Edge of Seventeen,Edge of Seventeen davidmoreton chrisstaffordtinaholmesandersengabrych comedies dramas independent movies comingstorysocialconsequencesheartbreakyearrediscoverssexualityoldconfrontsconfusion17  
"Edmilson Filho: Notas, Comedy about Relationships","Edmilson Filho: Notas, Comedy about Relationships haldergomes edmilsonfilho stand-up comedy playingaudiencemenbraziliancomedianedmilsonfilhowalkswomendifferencesstagesmodernrelationship  "
Edoardo Ferrario: Temi Caldi,Edoardo Ferrario: Temi Caldi francescoimperato edoardoferrario stand-up comedy italiancomedianedoardoferrarioriffssocialmedialikecraftbeer30lifeglobaltravelpeopleunpackspeculiarities  
Ee Nagaraniki Emaindi,Ee Nagaraniki Emaindi tharunbhascker vishwaksennaidusushanthreddyabhinavgomatam comedies international movies makinggoabecomingfilmmakerscometruedesperateneedabandoneddreamscashlongfourchildhoodfriendsgetanothershot  
Eeda,Eeda ajithkumar shanenigaamnimishasajayanmanikandanr.achari dramas international movies romantic movies violencefamiliesloveoppositeendstwoyoungadultskeralacitytornpoliticalspectrumfall  
Eerie,Eerie mikhailred beaalonzojakecuencamaxenemagalona horror movies international movies conventgirlscatholicschoolabusivepaststudentsuiciderattlesghostclairvoyantguidancecounselorleansuncover  
Effie Gray,Effie Gray richardlaxton dakotafanningemmathompsonjuliewalters dramas international movies romantic movies eraartcriticjohnruskinfindsvictorianartist—lookingtrappedyoungwifefallinglovelessmarriageway  
Eggnoid: Love & Time Portal,Eggnoid: Love & Time Portal nayaanindita morganoeysheiladaralunamaya dramas international movies romantic movies forbiddenlonelygirlfatesfuturewouldrisklookdatingfallingsenteggyfinds  
Eh Janam Tumhare Lekhe,Eh Janam Tumhare Lekhe harjitsingh pavanmalhotrasudhanshuaggarwalarjunabhalla dramas international movies valuesmotherdrivenlearnedsikhreligionmansetsmissionlessonsservehumanity  
Either Me Or My Auntie,Either Me Or My Auntie saeedhamed mohamedhenedidoniasamirghanimhassanhosny comedies international movies mothermarriageproposalwhoseaffinitygirlfriendmeddlemusicianmagicbeginsdeniedrelationshipeven  
Ek Cup Chya,"Ek Cup Chya sumitrabhave,sunilsukthankar kishorekadamashwinigirikamaldesai dramas independent movies international movies enormouselectricitybillcorruptsystempoorbusconductoreffortshinderedobtaininginformation  "
Ek Hasina Thi,Ek Hasina Thi sriramraghavan saifalikhanurmilamatondkarseemabiswas dramas international movies thrillers ’imprisonedvengefulwomanbreaksfreetalkingsuitorunderworldcrimesframedsmoothcommitgoesscorchedearth  
Ek Jaan Hain Hum,Ek Jaan Hain Hum rajivmehra rajivkapoordivyaranashammikapoor dramas international movies music & musicals tryingaccusedyoungmanparentswinbeloved’fathersoonrealizesinsanitymaydefensearson  
Ek Khiladi Ek Haseena,Ek Khiladi Ek Haseena suparnverma koenamitrafardeenkhankaykaymenon international movies music & musicals thrillers onebiggestscamyetfellowswindlersgangstergrifterassemblessoonclearattempttrustedbandindebted  
Ek Ladki Ko Dekha Toh Aisa Laga,Ek Ladki Ko Dekha Toh Aisa Laga shellychopradhar anilkapoorsonamkapoorrajkummarrao comedies dramas international movies familyseeksrevealhiddentruthhopefulwriterpursuestownwomanstrugglesmarrysmalllongloves  
Ek Main Aur Ekk Tu,Ek Main Aur Ekk Tu shakunbatra kareenakapoorimrankhanbomanirani comedies international movies romantic movies playexceptionallydissimilarloversbollywoodstarsimrankhanlightheartedromanticcomedykareenakapoorpair  
Ekşi Elmalar,Ekşi Elmalar yılmazerdoğan yılmazerdoğanfarahzeynepabdullahsongülöden dramas international movies threebeautifuldaughterspathsdoorsuitorsknockfathereasternturkishtownchoosefollowmayor  
El último testigo,El último testigo philippstölzl aaroneckhartlianaliberatoolgakurylenko action & adventure ciaagentlivingmarkedassassinationestrangedteendaughtersecurityexpertrunexbelgiummustgo  
El Camino Christmas,El Camino Christmas davide.talbert jessicaalbatimallendaxshepard comedies dramas stuckliquorstorechristmasevegroupunexpectedbondallegedrobberyformsstrangersshareshiddentruths  
El Camino: A Breaking Bad Movie,El Camino: A Breaking Bad Movie vincegilligan aaronpaul dramas thrillers breakingbadfugitivejessepinkmanattemptsstarringaaronpauldirectedpastwrittencreatorvincegilliganoutrun  
